id,名称,艺人,价格,日期,时间,地点,演出状态
1,不可思议减压馆&开心果脱口秀·射箭·星空水床·摔碗·发泄·蹦床,艺人：无,￥88起,2021/1/1,10:00:00,上海淮海755四楼,1
2,不可思议减压馆&开心果脱口秀·射箭·星空水床·摔碗·发泄·蹦床,艺人：无,￥88起,2021/1/1,10:00:00,上海淮海755四楼,1
3,橘子脱口秀|M-BOX Daily Concert精品live秀,艺人：待定,￥99起,2021/11/6,14:30:00,上海M-BOX音乐现场,1
4,橘子脱口秀|M-BOX Daily Concert精品live秀,艺人：待定,￥99起,2021/11/6,14:30:00,上海M-BOX音乐现场,1
5,橘子脱口秀|沉浸小剧场/开放麦,艺人：待定,￥49起,2021/11/11,19:30:00,上海橘子脱口秀俱乐部,1
6,橘子脱口秀|沉浸小剧场/开放麦,艺人：待定,￥49起,2021/11/11,19:30:00,上海橘子脱口秀俱乐部,1
7,周末脱口秀【大笑喜剧】GIR喜剧之夜爆笑精品｜单口｜开心｜吐槽｜解压专场,艺人：待定,￥79起,2021/11/27,16:00:00,上海GIR沉浸式剧场,1
8,周末脱口秀【大笑喜剧】GIR喜剧之夜爆笑精品｜单口｜开心｜吐槽｜解压专场,艺人：待定,￥79起,2021/11/27,16:00:00,上海GIR沉浸式剧场,1
9,【12.1-1.31】贰叁叁脱口秀丨周一至周四/周六周日精品秀,艺人：贰叁叁,￥120起,2021/12/1,19:30:00,上海THE BOXX,1
10,【12.1-1.31】贰叁叁脱口秀丨周一至周四/周六周日精品秀,艺人：贰叁叁,￥120起,2021/12/1,19:30:00,上海THE BOXX,1
11,12月【低价风暴】【场场爆满】上海滩脱口秀争霸赛-喜剧联盒国,艺人：待定,￥79起,2021/12/2,19:30:00,上海共舞台,1
12,12月 喜剧联盒国爆笑脱口秀演出—笑动大世界,艺人：待定,180,2021/12/2,19:30:00,上海上海大世界4楼 摩登剧场,1
13,12月【低价风暴】【场场爆满】上海滩脱口秀争霸赛-喜剧联盒国,艺人：待定,￥79起,2021/12/2,19:30:00,上海共舞台,1
14,12月 喜剧联盒国爆笑脱口秀演出—笑动大世界,艺人：待定,180,2021/12/2,19:30:00,上海上海大世界4楼 摩登剧场,1
15,12月 爆笑脱口秀演出—喜剧联盒国,艺人：,￥79起,2021/12/3,19:30:00,上海OMS中剧场,1
16,橘子脱口秀|盲盒开放麦,艺人：待定,￥49起,2021/12/3,19:30:00,上海光海书局,1
17,12月 人民广场YoungStar脱口秀/爆笑精品秀-喜剧联盒国,艺人：待定,￥149起,2021/12/3,20:00:00,上海喜剧盒子,1
18,12月 爆笑脱口秀演出—喜剧联盒国,艺人：,￥79起,2021/12/3,19:30:00,上海OMS中剧场,1
19,橘子脱口秀|盲盒开放麦,艺人：待定,￥49起,2021/12/3,19:30:00,上海光海书局,1
20,12月 人民广场YoungStar脱口秀/爆笑精品秀-喜剧联盒国,艺人：待定,￥149起,2021/12/3,20:00:00,上海喜剧盒子,1
21,【12.1-1.31】贰叁叁脱口秀丨开放麦/新星秀,艺人：,￥49起,2021/12/4,13:30:00,上海巢空间THE NEST SPACE,1
22,【12.4-12.26】咯吱喜剧“微醺脱口秀”，沪上“醉”美年轻人聚集地！,艺人：咯吱喜剧演员,￥66起,2021/12/4,16:00:00,上海Lounge微醺,1
23,12月 全程上海话演出—喜剧联盒国爆笑脱口秀演出,艺人：待定,180,2021/12/4,20:30:00,上海喜剧联盒国小剧场,1
24,【12.4-12.18】【演艺大世界·第七届上海国际喜剧节参演剧目】红楼脱口秀 | 二酉一下，笑出才华！@咯吱喜剧,艺人：咯吱喜剧演员,￥98起,2021/12/4,20:30:00,上海二酉书店,1
25,【12.1-1.31】贰叁叁脱口秀丨开放麦/新星秀,艺人：,￥49起,2021/12/4,13:30:00,上海巢空间THE NEST SPACE,1
26,【12.4-12.26】咯吱喜剧“微醺脱口秀”，沪上“醉”美年轻人聚集地！,艺人：咯吱喜剧演员,￥66起,2021/12/4,16:00:00,上海Lounge微醺,1
27,12月 全程上海话演出—喜剧联盒国爆笑脱口秀演出,艺人：待定,180,2021/12/4,20:30:00,上海喜剧联盒国小剧场,1
28,【12.4-12.18】【演艺大世界·第七届上海国际喜剧节参演剧目】红楼脱口秀 | 二酉一下，笑出才华！@咯吱喜剧,艺人：咯吱喜剧演员,￥98起,2021/12/4,20:30:00,上海二酉书店,1
29,奇境迷宫探险馆&开心果脱口秀·复古轮滑·射箭,艺人：,￥108起,2021/12/7,10:00:00,上海奇境迷宫探险馆,1
30,奇境迷宫探险馆&开心果脱口秀·复古轮滑·射箭,艺人：,￥108起,2021/12/7,10:00:00,上海奇境迷宫探险馆,1
