名称,艺人,价格,日期,时间,地点
X玖少年团 赵磊「第一次」巡演上海站,艺人：赵磊,80-988 元,2021/12/24,19:30,上海上海保利大剧院-大剧场
第25小时跨年演唱会-千禧年起历年金曲串烧&amp;跨年倒计时,艺人：无介绍,168-368 元,2021/12/31,,上海THE BOXX城市乐园
第25小时跨年演唱会-千禧年起历年金曲串烧&amp;跨年倒计时,艺人：无介绍,168-368 元,2022/1/1,,上海THE BOXX城市乐园
2021“平安夜一起来听歌”圣诞特别版演唱会-这个Xmas只想和你一起过,艺人：无介绍,180-580 元,2021/12/24,,上海Modernsky lab上海
2021《圣诞夜出逃计划》 演唱会—经典情歌VS摇滚劲曲大混战,艺人：无介绍,168-368 元,2021/12/25,,上海LOFAS潮流集聚空间
2021《圣诞夜出逃计划》 演唱会—经典情歌VS摇滚劲曲大混战,艺人：无介绍,168-368 元,2021/12/26,,上海LOFAS潮流集聚空间
2022跨年倒计时蜜糖演唱会＆粉红派对,,,,,
甜蜜暴击！终极浪漫拯救世界！,艺人：无介绍,199-580 元,2021/12/31,,上海Modernsky lab上海
太湖迷笛新年夜,艺人：无介绍,300 元,2022/1/1,15:00,上海万代南梦宫上海文化中心(上海浅水湾文化艺术中心)
M_DSK五周年 x No Problem特别演出,艺人：无介绍,399 元,2021/12/29,,上海Modernsky lab上海
M_DSK五周年 x No Problem特别演出,艺人：无介绍,399 元,2021/12/30,,上海Modernsky lab上海
[全场畅饮] 跨年派对-崭新 22:30场 上海站,艺人：无介绍,180-340 元,2021/12/31,,上海MAO Livehouse上海
[全场畅饮] 跨年派对-崭新 22:30场 上海站,艺人：无介绍,180-340 元,2022/1/1,,上海MAO Livehouse上海
12.25 [全场畅饮] 狂欢圣诞节  上海站,艺人：无介绍,130-260 元,2021/12/25,,上海MAO Livehouse上海
12.25 [全场畅饮] 狂欢圣诞节  上海站,艺人：无介绍,130-260 元,2021/12/26,,上海MAO Livehouse上海
